Axial load (kN),lat disp top (mm),Lat drift,Lat Load Act 3_ EW (kN),Total Load (kN)
247.1866763,0,0,0,0
247.2283459,-0.010533,-0.000434351,-0.81368829,-0.81368829
247.1853647,0.004418,0.000182186,0.54612923,0.54612923
247.1924692,0.004216,0.000173856,0.53668343,0.53668343
247.1789982,0.006971,0.000287464,3.61067095,3.61067095
247.1939993,0.00295,0.000121649,-0.43094443,-0.43094443
247.0738814,0.00465,0.000191753,0.35937225,0.35937225
247.0618039,0.002444,0.000100784,0.09229897,0.09229897
247.135935,-0.003855,-0.000158969,0.30588203,0.30588203
247.1264809,-0.010678,-0.00044033,-1.35587727,-1.35587727
247.1046213,0.004495,0.000185361,0.31964591,0.31964591
247.0499179,0.00143,5.89691E-05,1.74024041,1.74024041
247.0753023,0.001245,5.13402E-05,1.34448834,1.34448834
247.0168009,0.000822,3.38969E-05,1.95236612,1.95236612
247.0421306,0.001841,7.59175E-05,0.70616809,0.70616809
246.9795851,0.005534,0.000228206,1.12820648,1.12820648
247.0189595,-0.00189,-7.79381E-05,0.58817654,0.58817654
246.9942037,-0.000581,-2.39588E-05,0.68436178,0.68436178
246.9845035,0.001483,6.11546E-05,0.77034556,0.77034556
246.9885748,-0.002131,-8.78763E-05,0.56075673,0.56075673
246.9339808,0.005035,0.000207629,1.71557338,1.71557338
246.9006178,-0.005495,-0.000226598,1.5627673,1.5627673
246.9088971,0.002261,9.32371E-05,3.88735196,3.88735196
246.9054816,0.000379,1.56289E-05,3.2643609,3.2643609
246.9041153,-0.001311,-5.40619E-05,2.04914509,2.04914509
246.822962,-3.8E-05,-1.56701E-06,2.86574809,2.86574809
246.8744684,-0.000422,-1.74021E-05,2.90326141,2.90326141
246.8395752,0.004408,0.000181773,5.65798086,5.65798086
246.821022,0.005728,0.000236206,2.98330783,2.98330783
246.8337551,0.009887,0.000407711,3.56198459,3.56198459
246.815885,-0.003275,-0.000135052,3.17605615,3.17605615
246.7634769,0.00018,7.42268E-06,3.79143659,3.79143659
246.7851178,-0.004467,-0.000184206,1.67590101,1.67590101
246.7015053,-0.005909,-0.00024367,3.85151189,3.85151189
246.7255507,0.000878,3.62062E-05,1.80447186,1.80447186
246.7440493,-0.005156,-0.000212619,4.69629036,4.69629036
246.7169436,0.004132,0.000170392,3.55102746,3.55102746
246.7445958,0.002146,8.84948E-05,3.50093773,3.50093773
246.7018606,0.004546,0.000187464,4.18934771,4.18934771
246.7191296,0.004921,0.000202928,4.85103957,4.85103957
246.699374,-0.001195,-4.92784E-05,5.5355093,5.5355093
246.7098666,0.005496,0.000226639,5.12647913,5.12647913
246.7194028,0.006881,0.000283753,6.93705028,6.93705028
246.6351345,0.008328,0.000343423,5.83896241,5.83896241
246.66929,0.013852,0.000571216,6.64941214,6.64941214
246.6810122,0.020351,0.000839216,5.93072162,5.93072162
246.6508461,0.037022,0.00152668,9.16183329,9.16183329
246.6557098,0.030194,0.001245113,7.55064951,7.55064951
246.6754379,0.046815,0.001930515,8.98835441,8.98835441
246.5566864,0.052084,0.002147794,7.8489749,7.8489749
246.5934103,0.066363,0.002736619,8.59287221,8.59287221
246.5575881,0.069401,0.002861897,9.79923595,9.79923595
246.5909784,0.068705,0.002833196,9.16366848,9.16366848
246.6121001,0.07469,0.00308,11.17535422,11.17535422
246.5175579,0.075524,0.003114392,9.58214445,9.58214445
246.5164103,0.083698,0.003451464,8.58396617,8.58396617
246.5144429,0.09166,0.003779794,11.13498017,11.13498017
246.5058631,0.091648,0.003779299,9.08664472,9.08664472
246.4562968,0.10053,0.004145567,11.77286861,11.77286861
246.4297374,0.097473,0.004019505,11.67873446,11.67873446
246.4173596,0.097818,0.004033732,11.20790176,11.20790176
246.4474437,0.096479,0.003978515,10.16443761,10.16443761
246.4117035,0.090858,0.003746722,12.85022969,12.85022969
246.4702595,0.096114,0.003963464,11.24854569,11.24854569
246.3987791,0.10436,0.004303505,12.29605804,12.29605804
246.359432,0.110334,0.004549856,11.95066558,11.95066558
246.3583663,0.110857,0.004571423,11.47832155,11.47832155
246.3365889,0.110333,0.004549814,10.8307714,10.8307714
246.3662631,0.115647,0.004768948,14.02868783,14.02868783
246.3134998,0.114391,0.004717155,13.70180914,13.70180914
246.3122975,0.101474,0.004184495,10.18079234,10.18079234
246.3287741,0.113659,0.004686969,12.66223126,12.66223126
246.3335012,0.112541,0.004640866,13.78865653,13.78865653
246.2324558,0.114662,0.00472833,14.01902613,14.01902613
246.3143741,0.110472,0.004555546,12.93761685,12.93761685
246.2414182,0.119842,0.004941938,13.9367667,13.9367667
246.2539054,0.123128,0.005077443,11.41695083,11.41695083
246.2760382,0.118268,0.004877031,14.76448875,14.76448875
246.2286577,0.12881,0.005311753,11.82139304,11.82139304
246.21158,0.133554,0.005507381,16.06180205,16.06180205
246.2479214,0.124904,0.00515068,13.60017232,13.60017232
246.2632776,0.129575,0.005343299,14.38719647,14.38719647
246.208547,0.125542,0.00517699,11.98650564,11.98650564
246.1748834,0.131509,0.005423052,14.71715179,14.71715179
246.2303518,0.13339,0.005500619,14.55819245,14.55819245
246.1900485,0.131249,0.00541233,14.09961231,14.09961231
246.1656478,0.1427,0.005884536,13.98210654,13.98210654
246.1423129,0.139725,0.005761856,14.39237816,14.39237816
246.1859498,0.148816,0.006136742,16.10800552,16.10800552
246.1343615,0.146243,0.006030639,14.13701768,14.13701768
246.0900414,0.146749,0.006051505,14.55230907,14.55230907
246.0929924,0.151429,0.006244495,15.92815746,15.92815746
246.1002334,0.15084,0.006220206,15.80125987,15.80125987
246.0091613,0.148153,0.006109402,16.91645813,16.91645813
246.1045233,0.153444,0.006327588,14.95507803,14.95507803
246.0446831,0.154497,0.00637101,16.54364586,16.54364586
245.993122,0.157575,0.006497938,14.86585569,14.86585569
246.0737561,0.162466,0.006699629,15.28416973,15.28416973
246.0654222,0.155654,0.006418722,14.60428796,14.60428796
246.0041611,0.155721,0.006421485,17.08394568,17.08394568
245.9772739,0.165831,0.006838392,17.40585858,17.40585858
245.9877665,0.164739,0.006793361,14.83519732,14.83519732
245.9576004,0.167136,0.006892206,15.97538647,15.97538647
245.9123513,0.157197,0.006482351,16.24980048,16.24980048
245.9626828,0.163267,0.00673266,17.54932681,17.54932681
245.8824312,0.163603,0.006746515,16.71167317,16.71167317
245.9575732,0.166761,0.006876742,18.09702134,18.09702134
245.9016401,0.159289,0.006568619,16.15733959,16.15733959
245.9232811,0.160276,0.00660932,17.22703607,17.22703607
245.8917487,0.163477,0.00674132,16.06352929,16.06352929
245.9115316,0.167167,0.006893485,16.39407835,16.39407835
245.9125426,0.165,0.006804124,16.59087487,16.59087487
245.8238751,0.167253,0.006897031,16.96217581,16.96217581
245.8283562,0.166621,0.006870969,14.77981793,14.77981793
245.8454887,0.178103,0.007344454,16.11243155,16.11243155
245.8395047,0.175049,0.007218515,17.65571351,17.65571351
245.9016948,0.175501,0.007237155,18.70155261,18.70155261
245.8275639,0.172939,0.007131505,18.38514526,18.38514526
245.766658,0.175614,0.007241814,17.02484195,17.02484195
245.8037371,0.178628,0.007366103,17.07460783,17.07460783
245.8357613,0.182628,0.007531052,17.26303807,17.26303807
245.8204049,0.188246,0.007762722,18.33883385,18.33883385
245.7701555,0.178082,0.007343588,16.57473604,16.57473604
245.7562201,0.180294,0.007434804,17.04135861,17.04135861
245.8133553,0.178902,0.007377402,18.00213152,18.00213152
245.7659203,0.181959,0.007503464,19.2174013,19.2174013
245.7789813,0.184125,0.007592784,16.94107119,16.94107119
245.7584334,0.188098,0.007756619,18.03753978,18.03753978
245.6938386,0.193413,0.007975794,17.4602664,17.4602664
245.7552364,0.195757,0.008072454,19.55620869,19.55620869
245.7057795,0.194251,0.008010351,16.97183752,16.97183752
245.662279,0.193277,0.007970186,18.73944376,18.73944376
245.7836537,0.19978,0.008238351,20.13321219,20.13321219
245.6901772,0.200416,0.008264577,18.14203733,18.14203733
245.7143865,0.216273,0.008918474,18.26051466,18.26051466
245.7293876,0.219423,0.009048371,19.76250498,19.76250498
245.7347431,0.222878,0.009190845,21.2402061,21.2402061
245.6686183,0.229412,0.009460289,20.47326103,20.47326103
245.6425781,0.229654,0.009470268,19.79715758,19.79715758
245.648972,0.235255,0.009701237,19.76180329,19.76180329
245.6179317,0.231564,0.009549031,20.86080875,20.86080875
245.7162447,0.235372,0.009706062,20.17023973,20.17023973
245.6332332,0.236878,0.009768165,21.35771187,21.35771187
245.6509123,0.241814,0.009971711,21.67142041,21.67142041
245.6394904,0.242029,0.009980577,20.96449666,20.96449666
245.6521691,0.24963,0.010294021,22.3307913,22.3307913
245.7116541,0.252405,0.010408454,23.76072366,23.76072366
245.5581461,0.264486,0.010906639,22.1938002,22.1938002
245.6585083,0.272665,0.011243918,23.83369922,23.83369922
245.5978755,0.289843,0.011952289,23.23300024,23.23300024
245.5372431,0.287312,0.011847918,24.70147147,24.70147147
245.534729,0.291812,0.012033485,24.19485267,24.19485267
245.6087233,0.302416,0.012470763,24.11054215,24.11054215
245.5485553,0.303667,0.012522351,26.65437734,26.65437734
245.5771637,0.309444,0.012760577,25.57858156,25.57858156
245.6100077,0.320484,0.013215835,24.55498059,24.55498059
245.5435001,0.314198,0.012956619,25.15978173,25.15978173
245.5167224,0.321729,0.013267175,25.3710978,25.3710978
245.5645674,0.322148,0.013284454,23.66837071,23.66837071
245.5417515,0.330337,0.013622144,26.65750795,26.65750795
245.5811531,0.333957,0.013771423,25.38442987,25.38442987
245.5382811,0.336026,0.013856742,26.58912035,26.58912035
245.556971,0.339664,0.014006763,25.29876995,25.29876995
245.502104,0.338689,0.013966557,28.23306757,28.23306757
245.4588766,0.347587,0.014333485,25.80479501,25.80479501
245.5270236,0.344312,0.014198433,26.56396753,26.56396753
245.4809001,0.343146,0.014150351,26.47701219,26.47701219
245.4704348,0.347237,0.014319052,25.24079972,25.24079972
245.4981418,0.354262,0.014608742,25.85591028,25.85591028
245.4818292,0.358979,0.014803258,26.99318473,26.99318473
245.4793428,0.35693,0.014718763,28.27813753,28.27813753
245.4639319,0.354918,0.014635794,26.38293201,26.38293201
245.4665549,0.376851,0.015540247,27.90203272,27.90203272
245.4128079,0.373468,0.015400742,27.15862119,27.15862119
245.4135456,0.380834,0.015704495,25.96229699,25.96229699
245.4222347,0.379099,0.015632948,26.64854793,26.64854793
245.3968232,0.372721,0.015369938,27.73233216,27.73233216
245.4004301,0.375178,0.015471258,29.21812968,29.21812968
245.3636242,0.375969,0.015503876,28.28256356,28.28256356
245.4100484,0.376444,0.015523464,28.99358949,28.99358949
245.4133819,0.375342,0.015478021,27.26576356,27.26576356
245.4458704,0.380002,0.015670186,28.83230919,28.83230919
245.2988109,0.378304,0.015600165,28.44044338,28.44044338
245.3955664,0.375264,0.015474804,28.26297027,28.26297027
245.3261902,0.37707,0.015549278,28.85330585,28.85330585
