Axial load (kN),lat disp top (mm),Lat drift,Lat Load Act 1(kN),Lat load Act 2 (kN),Total Load (kN)
251.4835139,0,0,0,0,0
250.7629975,-0.009787,-0.000403588,0.977944,0.32117057,1.29911457
250.3801557,-0.003075,-0.000126804,1.55146863,-0.78824122,0.76322741
250.115164,0.005822,0.000240082,1.09242949,0.30471771,1.3971472
249.8728788,-0.01896,-0.000781856,0.79988976,-0.25634496,0.5435448
249.8684797,-0.005675,-0.000234021,-0.81357042,2.51290133,1.69933091
252.3388494,0.009294,0.000383258,0.18066008,0.71682089,0.89748097
253.0747498,-0.002799,-0.000115423,-0.5988287,3.67901427,3.08018557
252.5128784,-0.004198,-0.000173113,-0.27618467,1.55360482,1.27742015
252.0240723,-0.011497,-0.000474103,1.42042235,-1.42378366,-0.00336131
251.6883649,0.002591,0.000106845,0.28866526,0.83015521,1.11882047
251.3954749,-0.000933,-3.85E-05,0.92301566,-1.34831809,-0.42530243
251.1538727,-9.50E-05,-3.92E-06,0.96268613,-0.45653267,0.50615346
250.8296143,0.001719,7.09E-05,0.77767155,-1.12783626,-0.35016471
250.7098244,-0.010685,-0.000440619,1.18061657,0.05860479,1.23922136
250.5539661,-0.010244,-0.000422433,0.47851436,-1.01035474,-0.53184038
250.2599283,-0.011212,-0.000462351,1.98523798,1.07647209,3.06171007
249.5632114,-0.002125,-8.76E-05,0.63791628,1.06396248,1.70187876
252.292206,0.000561,2.31E-05,0.45903914,1.62862847,2.08766761
249.7602204,-0.00336,-0.000138557,0.00576027,2.73385906,2.73961933
249.5603154,-0.004336,-0.000178804,0.62804152,1.55333288,2.1813744
249.4720304,-0.001918,-7.91E-05,2.63299474,-3.9068047,-1.27380996
249.2608131,-0.002142,-8.83E-05,1.47634503,0.07566953,1.55201456
249.0880412,-0.005692,-0.000234722,0.55494087,1.48636569,2.04130656
248.8880542,-0.001909,-7.87E-05,-0.02835565,2.70360485,2.6752492
248.7081233,-0.007705,-0.000317732,1.90390837,-1.28468226,0.61922611
248.6424902,-0.008275,-0.000341237,0.11914856,1.7361839,1.85533246
248.5737148,-0.002902,-0.00011967,2.15554329,4.64786295,6.80340624
248.3629075,-0.008033,-0.000331258,0.9863444,-1.03306239,-0.04671799
248.2235806,-0.007843,-0.000323423,1.50984378,0.00866834,1.51851212
248.1063045,-0.005468,-0.000225485,1.60121958,-1.00651347,0.59470611
248.0263261,-0.003317,-0.000136784,0.91646677,-1.34039761,-0.42393084
247.9148702,-0.00152,-6.27E-05,-0.43839815,1.45634943,1.01795128
247.7270151,-0.011877,-0.000489773,1.08718352,-2.54448129,-1.45729777
247.700374,-0.010331,-0.000426021,0.38117255,0.0230136,0.40418615
247.5734798,-0.011678,-0.000481567,0.93025029,-1.07184897,-0.14159868
247.4280321,-0.010564,-0.000435629,0.78075741,-1.24541977,-0.46466236
247.3284896,-0.003447,-0.000142144,0.74139552,-0.73402159,0.00737393
247.3037064,-0.007463,-0.000307753,1.45806987,0.36933935,1.82740922
247.2335103,-0.001684,-6.94E-05,1.2179555,-2.3452114,-1.1272559
247.130033,-0.001693,-6.98E-05,0.48276599,0.29424772,0.77701371
247.0575144,-0.016204,-0.000668206,0.65430564,-0.61857968,0.03572596
246.9399102,-0.010141,-0.000418186,-0.989636,3.91482717,2.92519117
246.7801994,-0.006349,-0.000261814,-2.41719012,5.51479912,3.097609
246.7316167,-0.006893,-0.000284247,0.99889358,-0.97986257,0.01903101
246.5653754,-0.001037,-4.28E-05,-0.43647806,-1.03234853,-1.46882659
246.5820433,-0.008284,-0.000341608,-0.55003779,2.28378515,1.73374736
