Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
248.7431806,0,0,0,0
248.7007185,-0.011747189,-0.00048442,0,0
248.7202553,-0.019493948,-0.000803874,0,0
248.7355025,-0.018796539,-0.000775115,2.389072789,2.389072789
248.612925,-0.019635916,-0.000809728,0,0
248.7593565,-0.028870868,-0.001190551,2.178766164,2.178766164
248.8231593,-0.027712275,-0.001142774,1.593684517,1.593684517
248.7666794,-0.034810654,-0.001435491,2.668300481,2.668300481
248.8963065,-0.035593835,-0.001467787,5.657937997,5.657937997
248.7031775,-0.036509872,-0.001505562,0,0
248.801846,-0.045241737,-0.001865639,-3.366323142,-3.366323142
248.7631269,-0.050501333,-0.002082529,0,0
248.7783739,-0.065203483,-0.002688803,0,0
248.6858813,-0.061021877,-0.002516366,-0.494982617,-0.494982617
248.6415059,-0.065182758,-0.002687949,0,0
248.6225985,-0.076570723,-0.003157556,0,0
248.6495669,-0.086305143,-0.003558975,0,0
248.7439186,-0.101005279,-0.004165166,-4.026353008,-4.026353008
248.6287187,-0.128330236,-0.005291969,0,0
248.7185615,-0.128316221,-0.005291391,0,0
248.7232886,-0.130616816,-0.00538626,0,0
248.6698146,-0.139035271,-0.005733413,0,0
248.747935,-0.14787409,-0.006097901,-3.467868855,-3.467868855
248.6765639,-0.156068127,-0.006435799,0,0
248.6421625,-0.167370108,-0.00690186,0,0
248.6699513,-0.180872765,-0.007458671,-6.89344691,-6.89344691
248.6962921,-0.183312184,-0.007559265,-10.10114975,-10.10114975
248.6729024,-0.186082744,-0.007673515,-9.095850099,-9.095850099
248.7019481,-0.198608077,-0.008190024,-12.04251844,-12.04251844
248.7017571,-0.209541039,-0.008640868,-13.78051364,-13.78051364
248.6133626,-0.225206747,-0.009286876,-13.59658932,-13.59658932
248.652245,-0.231636007,-0.009552,-14.26394184,-14.26394184
248.6847336,-0.230334089,-0.009498313,-13.18804204,-13.18804204
248.6400857,-0.236812124,-0.009765448,-17.44114274,-17.44114274
248.6674922,-0.247408027,-0.010202393,-17.4985476,-17.4985476
248.6849524,-0.247104389,-0.010189872,-16.29933252,-16.29933252
248.7096809,-0.2695548,-0.011115662,-18.89916426,-18.89916426
248.7130417,-0.30673966,-0.012649058,-18.02786126,-18.02786126
248.7139162,-0.343602415,-0.014169172,-18.97963111,-18.97963111
248.6522724,-0.353025818,-0.014557766,-18.22921202,-18.22921202
248.6514799,-0.380528765,-0.015691908,-18.79794526,-18.79794526
248.6974122,-0.389112523,-0.016045877,-20.86322414,-20.86322414
248.6487475,-0.399613002,-0.016478887,-20.38365559,-20.38365559
248.6435287,-0.411129242,-0.016953783,-21.74097388,-21.74097388
248.6206034,-0.42635649,-0.017581711,-21.15782041,-21.15782041
248.6290741,-0.435375575,-0.017953632,-21.95112877,-21.95112877
248.6807991,-0.440954754,-0.018183701,-22.30666895,-22.30666895
248.6548407,-0.438991412,-0.018102739,-21.72205736,-21.72205736
248.6683665,-0.45646648,-0.01882336,-21.49892803,-21.49892803
248.6665906,-0.46169882,-0.019039127,-23.13523522,-23.13523522
248.6231447,-0.452982684,-0.018679698,-22.24172445,-22.24172445
248.5920767,-0.450772769,-0.018588568,-22.31956458,-22.31956458
248.5612275,-0.450444753,-0.018575041,-23.54398116,-23.54398116
248.5993178,-0.4561816,-0.018811612,-22.95083458,-22.95083458
248.6338557,-0.446764633,-0.018423284,-23.32954206,-23.32954206
248.6201664,-0.460989094,-0.01900986,-22.76862648,-22.76862648
248.6041541,-0.451306643,-0.018610583,-23.78196494,-23.78196494
248.6010118,-0.456039084,-0.018805735,-25.43237941,-25.43237941
248.5848904,-0.458134288,-0.018892136,-25.6276679,-25.6276679
248.6313966,-0.458356095,-0.018901282,-25.73939076,-25.73939076
248.5903007,-0.452660653,-0.018666419,-26.21436836,-26.21436836
248.5244489,-0.451910205,-0.018635472,-25.35245081,-25.35245081
248.5872951,-0.453350853,-0.018694881,-28.1123415,-28.1123415
248.5380566,-0.454945415,-0.018760636,-26.47542009,-26.47542009
