Axial load (kN),lat disp top (mm),Lat drift,Lat Load_Resultant (kN),Total Load (kN)
250.1500846,0,0,0,0
250.1590196,0.013392264,0.000552258,1.276938725,1.276938725
250.1583912,0.003837766,0.000158258,-1.135509671,-1.135509671
250.1282251,0.007125802,0.000293848,-1.37031572,-1.37031572
250.1538827,0.017072287,0.000704012,-1.176537817,-1.176537817
250.1745399,0.020269287,0.000835847,-1.87798882,-1.87798882
250.1819448,0.003894385,0.000160593,-2.05155483,-2.05155483
250.1454668,0.004350021,0.000179382,-1.249024014,-1.249024014
250.1861801,-0.00543564,-0.00022415,-1.322247105,-1.322247105
250.1739934,0.011963507,0.000493341,-1.300685095,-1.300685095
250.1033326,0.013181657,0.000543573,-1.544656691,-1.544656691
250.1547024,0.013325393,0.000549501,2.110117916,2.110117916
250.1991865,0.015380138,0.000634233,-1.066999746,-1.066999746
250.1634463,0.015369916,0.000633811,0.526219948,0.526219948
250.1658781,0.015269246,0.00062966,1.362652986,1.362652986
250.1526257,0.014138178,0.000583018,-1.85627723,-1.85627723
250.1779282,0.014725453,0.000607235,1.771453307,1.771453307
250.14809,0.009933308,0.000409621,-3.930926356,-3.930926356
250.1834203,0.022324849,0.000920612,-1.122458143,-1.122458143
250.2000336,0.011036233,0.000455102,-0.481873475,-0.481873475
250.1779008,0.01597272,0.000658669,1.624122601,1.624122601
250.1054639,0.019152941,0.000789812,-1.698304769,-1.698304769
250.1346737,0.013808303,0.000569415,-3.343896438,-3.343896438
250.1939129,0.018381459,0.000757998,-3.578521898,-3.578521898
250.1448929,0.021070173,0.000868873,-2.478537205,-2.478537205
250.1866446,-0.012592756,-0.000519289,-2.832304807,-2.832304807
250.1524618,0.014269151,0.000588419,-2.836925511,-2.836925511
250.0967748,0.019676668,0.000811409,-2.795515658,-2.795515658
250.1554402,0.024730853,0.001019829,-2.148505835,-2.148505835
250.1864534,0.019682974,0.000811669,2.465904867,2.465904867
250.1469697,0.015858552,0.000653961,-2.753669459,-2.753669459
250.1316406,-0.018705713,-0.00077137,0.065437842,0.065437842
250.1339633,-0.021738166,-0.000896419,-1.846060446,-1.846060446
250.129646,0.026107313,0.00107659,-5.195868253,-5.195868253
250.0972939,0.017191037,0.000708909,-6.236794069,-6.236794069
250.1212572,0.01964516,0.00081011,-5.532959013,-5.532959013
250.1017205,0.026166758,0.001079042,-6.287738386,-6.287738386
250.130165,-0.024494813,-0.001010095,-6.044149564,-6.044149564
250.0730572,0.027727754,0.001143413,-8.844816681,-8.844816681
250.1171315,0.032157655,0.001326089,-7.491384097,-7.491384097
250.1277878,0.03172369,0.001308193,-9.819747573,-9.819747573
250.1325424,0.034181502,0.001409546,-10.72569614,-10.72569614
250.1449476,0.020830037,0.000858971,-11.8701285,-11.8701285
250.2129307,0.02542772,0.001048566,-13.16019118,-13.16019118
250.144046,0.027262048,0.001124208,-12.43607738,-12.43607738
250.1305476,0.036265949,0.001495503,-16.28438861,-16.28438861
250.1067482,0.029476547,0.001215528,-15.10455824,-15.10455824
250.1339635,-0.02671999,-0.001101855,-18.53636612,-18.53636612
250.1383898,-0.043735406,-0.001803522,-17.43262166,-17.43262166
250.0734943,-0.081843112,-0.003374974,-23.43582987,-23.43582987
250.1011193,-0.101550144,-0.004187635,-18.36272502,-18.36272502
250.1337173,-0.11254797,-0.004641153,-20.40399278,-20.40399278
250.0347483,-0.121069784,-0.004992568,-20.48168841,-20.48168841
250.1325698,-0.128976546,-0.00531862,-22.53091675,-22.53091675
250.0972118,-0.139405675,-0.005748688,-23.95173119,-23.95173119
250.1066933,-0.155640019,-0.006418145,-23.14642326,-23.14642326
250.1024309,-0.163495071,-0.006742065,-22.36033755,-22.36033755
250.0307591,-0.165014042,-0.006804703,-23.77037953,-23.77037953
250.1586372,-0.18462832,-0.007613539,-26.68185333,-26.68185333
250.1327336,-0.191774008,-0.007908207,-23.37597085,-23.37597085
250.0258681,-0.175297103,-0.007228747,-21.36564913,-21.36564913
250.069259,-0.18787403,-0.007747383,-21.60697916,-21.60697916
250.0608159,-0.194135966,-0.008005607,-21.98110132,-21.98110132
250.0993707,-0.192168085,-0.007924457,-22.78972269,-22.78972269
250.084424,-0.187965807,-0.007751167,-21.99061894,-21.99061894
250.0933592,-0.193408028,-0.007975589,-24.38937992,-24.38937992
250.1216947,-0.184420181,-0.007604956,-22.27722008,-22.27722008
249.9983248,-0.193708801,-0.007987992,-22.59111093,-22.59111093
250.0113588,-0.191137594,-0.007881963,-20.5124472,-20.5124472
250.0641768,-0.191904491,-0.007913587,-21.12000198,-21.12000198
250.0892605,-0.190288277,-0.007846939,-22.15561897,-22.15561897
250.0729753,-0.181511144,-0.007484996,-22.01479012,-22.01479012
250.0692865,-0.183214355,-0.007555231,-22.04802018,-22.04802018
250.119454,-0.186830652,-0.007704357,-22.7364009,-22.7364009
250.0376722,-0.186943799,-0.007709023,-21.53747192,-21.53747192
250.0279172,-0.188464274,-0.007771723,-24.35541047,-24.35541047
250.0646688,-0.18524349,-0.007638907,-23.62906189,-23.62906189
250.0531924,-0.187235795,-0.007721064,-25.77402941,-25.77402941
250.0697237,-0.192321305,-0.007930775,-23.96364087,-23.96364087
250.0416069,-0.189957361,-0.007833293,-23.50914174,-23.50914174
250.1055186,-0.188981788,-0.007793063,-21.96159566,-21.96159566
250.0013579,-0.184431308,-0.007605415,-24.569915,-24.569915
250.0997807,-0.177453271,-0.007317661,-22.99627951,-22.99627951
250.0520447,-0.187705855,-0.007740448,-22.74472708,-22.74472708
250.0800524,-0.196820138,-0.008116294,-25.43443316,-25.43443316
250.1091803,-0.183987655,-0.00758712,-24.942444,-24.942444
250.0645594,-0.185987739,-0.007669597,-24.30364427,-24.30364427
250.1208203,-0.185708945,-0.007658101,-22.51326918,-22.51326918
250.0093368,-0.194206904,-0.008008532,-26.32670564,-26.32670564
250.1058739,-0.180913038,-0.007460331,-26.301351,-26.301351
250.1033054,-0.184188696,-0.00759541,-23.59205548,-23.59205548
250.0682755,-0.177545078,-0.007321446,-20.36219452,-20.36219452
250.0529191,-0.200001445,-0.008247482,-22.24792304,-22.24792304
250.0970753,-0.190291251,-0.007847062,-24.88259686,-24.88259686
250.1083328,-0.190210937,-0.00784375,-22.39159204,-22.39159204
250.0436014,-0.194927021,-0.008038228,-22.12027817,-22.12027817
250.1176507,-0.180412418,-0.007439687,-23.05966728,-23.05966728
250.064204,-0.184068059,-0.007590435,-23.93523735,-23.93523735
250.0768825,-0.191020496,-0.007877134,-26.65630611,-26.65630611
250.0743415,-0.192127114,-0.007922768,-26.52940608,-26.52940608
250.0592037,-0.190273554,-0.007846332,-23.49176109,-23.49176109
250.0481101,-0.18970462,-0.007822871,-23.73842144,-23.73842144
250.1469423,-0.190512252,-0.007856175,-24.38261744,-24.38261744
250.0296935,-0.19293282,-0.007955993,-25.36666544,-25.36666544
250.07885,-0.182644237,-0.007531721,-26.37524306,-26.37524306
250.0692591,-0.192644694,-0.007944111,-25.81681617,-25.81681617
250.0776204,-0.190542022,-0.007857403,-24.85426294,-24.85426294
